file_name,case_id,plan_id,dataset_path,field_count,usable_field_count,constant_field_count,missing_field_count,mean_non_null_ratio,mean_numeric_non_null_ratio,mean_unique_ratio,quality_score
outcome_deepsecure_drdos_dns_001.json,case_deepsecure_drdos_dns_001,tp-deepsecure-flow-v1,/home/rpaisley/CBR_Tests/moved_datasets/Datasets/DeepSecure/CICDDoS2019/01-12/DrDoS_DNS.csv,6,6,0,0,0.999999,0.999999,0.002165,1.0
outcome_fortisedos_slice1_streamertrain_001.json,case_fortisedos_slice1_streamertrain_001,tp-fortisedos-kpi-v1,/home/rpaisley/CBR_Tests/moved_datasets/Datasets/FortisEDoS/dataset_edos_k8s/slice1/slice1-streamertrain.csv,9,9,0,0,1.0,1.0,0.606513,1.0
outcome_secure5g_attack_001.json,case_secure5g_attack_001,tp-column-quality-secure5g-v1,/home/rpaisley/CBR_Tests/datasets/secure5g/secure5g_attack_combined.csv,6,4,2,0,1.0,1.0,0.2982,0.666667
